date,momentum,direction,recent_avg,historical_avg
2025-01-01,-0.23998232174114345,falling,58.625,77.13636363636364
2025-02-01,-0.24081753554188512,falling,58.25,76.72727272727273
2025-03-01,-0.23679498656806353,falling,58.125,76.1590909090909
2025-04-01,-0.23178807946712862,falling,58.0,75.5
2025-05-01,-0.24803387779464203,falling,56.5,75.13636363636364
2025-06-01,-0.26933575977802526,falling,54.75,74.93181818181819
2025-07-01,-0.2695705147694605,falling,54.5,74.61363636363636
2025-08-01,-0.2553846153811578,falling,55.0,73.86363636363636
2025-09-01,-0.22484374999690845,falling,56.375,72.72727272727273
2025-10-01,-0.19635499207333132,falling,57.625,71.70454545454545
2025-11-01,-0.1575144508648263,falling,59.625,70.77272727272727
2025-12-01,-0.08541734329205647,stable,64.0,69.97727272727273
