date,momentum,direction,recent_avg,historical_avg
2024-01-01,1.0,rising,21.625,2.25
2024-02-01,1.0,rising,12.5,3.909090909090909
2024-03-01,-0.9999999998382353,falling,0.0,6.181818181818182
2024-04-01,-0.9999999998382353,falling,0.0,6.181818181818182
2024-05-01,-0.9999999998382353,falling,0.0,6.181818181818182
2024-06-01,-0.9999999998382353,falling,0.0,6.181818181818182
2024-07-01,-0.9999999998382353,falling,0.0,6.181818181818182
2024-08-01,-0.9999999998382353,falling,0.0,6.181818181818182
2024-09-01,-0.9999999998382353,falling,0.0,6.181818181818182
2024-10-01,-0.9999999998382353,falling,0.0,6.181818181818182
2024-11-01,-0.9999999998382353,falling,0.0,6.181818181818182
2024-12-01,-0.9999999998382353,falling,0.0,6.181818181818182
