date,momentum,direction,recent_avg,historical_avg
2025-01-01,-0.999999999704698,falling,0.0,3.3863636363636362
2025-02-01,-0.999999999704698,falling,0.0,3.3863636363636362
2025-03-01,-0.999999999704698,falling,0.0,3.3863636363636362
2025-04-01,-0.999999999704698,falling,0.0,3.3863636363636362
2025-05-01,-0.999999999704698,falling,0.0,3.3863636363636362
2025-06-01,-0.999999999704698,falling,0.0,3.3863636363636362
2025-07-01,-0.999999999704698,falling,0.0,3.3863636363636362
2025-08-01,-0.999999999704698,falling,0.0,3.3863636363636362
2025-09-01,-0.999999999704698,falling,0.0,3.3863636363636362
2025-10-01,-0.999999999704698,falling,0.0,3.3863636363636362
2025-11-01,-0.999999999704698,falling,0.0,3.3863636363636362
2025-12-01,-0.999999999704698,falling,0.0,3.3863636363636362
