date,momentum,direction,recent_avg,historical_avg
2024-01-01,-0.9999999995056179,falling,0.0,2.022727272727273
2024-02-01,-0.9999999995056179,falling,0.0,2.022727272727273
2024-03-01,-0.9999999995056179,falling,0.0,2.022727272727273
2024-04-01,-0.99999999945,falling,0.0,1.8181818181818181
2024-05-01,-0.99999999945,falling,0.0,1.8181818181818181
2024-06-01,-0.9999999993432835,falling,0.0,1.5227272727272727
2024-07-01,-0.9999999993432835,falling,0.0,1.5227272727272727
2024-08-01,-0.9999999993432835,falling,0.0,1.5227272727272727
2024-09-01,-0.9999999992542372,falling,0.0,1.3409090909090908
2024-10-01,-0.9999999992542372,falling,0.0,1.3409090909090908
2024-11-01,-0.9999999990434781,falling,0.0,1.0454545454545454
2024-12-01,-0.9999999990434781,falling,0.0,1.0454545454545454
