date,momentum,direction,recent_avg,historical_avg
2024-01-01,-0.99999999956,falling,0.0,2.272727272727273
2024-02-01,-0.99999999956,falling,0.0,2.272727272727273
2024-03-01,-0.99999999956,falling,0.0,2.272727272727273
2024-04-01,-0.99999999956,falling,0.0,2.272727272727273
2024-05-01,-0.99999999956,falling,0.0,2.272727272727273
2024-06-01,-0.99999999956,falling,0.0,2.272727272727273
2024-07-01,-0.99999999956,falling,0.0,2.272727272727273
2024-08-01,-0.99999999956,falling,0.0,2.272727272727273
2024-09-01,-0.99999999956,falling,0.0,2.272727272727273
2024-10-01,-0.99999999956,falling,0.0,2.272727272727273
2024-11-01,-0.99999999956,falling,0.0,2.272727272727273
2024-12-01,-0.99999999956,falling,0.0,2.272727272727273
