date,momentum,direction,recent_avg,historical_avg
2025-01-01,0.23275862066443018,rising,11.375,9.227272727272727
2025-02-01,0.23275862066443018,rising,11.375,9.227272727272727
2025-03-01,-0.9999999999114688,falling,0.0,11.295454545454545
2025-04-01,-0.9999999999114688,falling,0.0,11.295454545454545
2025-05-01,-0.9999999999114688,falling,0.0,11.295454545454545
2025-06-01,-0.9999999999114688,falling,0.0,11.295454545454545
2025-07-01,-0.9999999999114688,falling,0.0,11.295454545454545
2025-08-01,-0.9999999999114688,falling,0.0,11.295454545454545
2025-09-01,-0.9999999999114688,falling,0.0,11.295454545454545
2025-10-01,-0.9999999999114688,falling,0.0,11.295454545454545
2025-11-01,0.10663983902476433,rising,12.5,11.295454545454545
2025-12-01,0.10663983902476433,rising,12.5,11.295454545454545
