date,momentum,direction,recent_avg,historical_avg
2024-01-01,1.0,rising,12.5,0.6136363636363636
2024-02-01,1.0,rising,20.125,0.6136363636363636
2024-03-01,1.0,rising,23.125,0.6136363636363636
2024-04-01,1.0,rising,25.375,0.6136363636363636
2024-05-01,1.0,rising,25.375,0.6136363636363636
2024-06-01,1.0,rising,28.625,0.6136363636363636
2024-07-01,1.0,rising,34.0,0.6136363636363636
2024-08-01,1.0,rising,38.125,0.6136363636363636
2024-09-01,1.0,rising,27.875,2.8863636363636362
2024-10-01,1.0,rising,24.625,4.2727272727272725
2024-11-01,1.0,rising,24.125,4.818181818181818
2024-12-01,1.0,rising,21.875,5.2272727272727275
