date,momentum,direction,recent_avg,historical_avg
2024-01-01,1.0,rising,36.0,15.795454545454545
2024-02-01,1.0,rising,36.25,15.977272727272727
2024-03-01,1.0,rising,35.125,16.431818181818183
2024-04-01,0.9489932885345559,rising,33.0,16.931818181818183
2024-05-01,0.8046874999538982,rising,31.5,17.454545454545453
2024-06-01,0.6736111110736883,rising,30.125,18.0
2024-07-01,0.5359756097273378,rising,28.625,18.636363636363637
2024-08-01,0.3492990654026062,rising,26.25,19.454545454545453
2024-09-01,0.29522184298863513,rising,25.875,19.977272727272727
2024-10-01,0.2682926829137418,rising,26.0,20.5
2024-11-01,0.27795874048617775,rising,26.75,20.931818181818183
2024-12-01,0.32352941174948097,rising,28.125,21.25
