date,momentum,direction,recent_avg,historical_avg
2024-01-01,1.0,rising,60.125,24.318181818181817
2024-02-01,1.0,rising,60.125,25.15909090909091
2024-03-01,1.0,rising,58.875,25.954545454545453
2024-04-01,1.0,rising,57.25,26.727272727272727
2024-05-01,0.9361788617551287,rising,54.125,27.954545454545453
2024-06-01,0.6838461538230082,rising,49.75,29.545454545454547
2024-07-01,0.41269841268531116,rising,44.5,31.5
2024-08-01,0.45304835317453823,rising,47.125,32.43181818181818
2024-09-01,0.5088495575068829,rising,50.375,33.38636363636363
2024-10-01,0.5636543535456461,rising,53.875,34.45454545454545
2024-11-01,0.5841423948053707,rising,55.625,35.11363636363637
2024-12-01,0.5289440203414292,rising,54.625,35.72727272727273
