date,momentum,direction,recent_avg,historical_avg
2024-01-01,-0.9999999998428571,falling,0.0,6.363636363636363
2024-02-01,-0.9999999998428571,falling,0.0,6.363636363636363
2024-03-01,-0.9999999998428571,falling,0.0,6.363636363636363
2024-04-01,-0.9999999998428571,falling,0.0,6.363636363636363
2024-05-01,-0.9999999998428571,falling,0.0,6.363636363636363
2024-06-01,-0.9999999998428571,falling,0.0,6.363636363636363
2024-07-01,0.6107142856183164,rising,10.25,6.363636363636363
2024-08-01,0.6107142856183164,rising,10.25,6.363636363636363
2024-09-01,0.6107142856183164,rising,10.25,6.363636363636363
2024-10-01,0.6107142856183164,rising,10.25,6.363636363636363
2024-11-01,0.6107142856183164,rising,10.25,6.363636363636363
2024-12-01,0.6107142856183164,rising,10.25,6.363636363636363
