date,momentum,direction,recent_avg,historical_avg
2024-01-01,0.20022497186860536,rising,24.25,20.204545454545453
2024-02-01,0.2615819208909496,rising,25.375,20.113636363636363
2024-03-01,0.30508474574754385,rising,26.25,20.113636363636363
2024-04-01,0.3624429223562243,rising,27.125,19.90909090909091
2024-05-01,0.37656427756931876,rising,27.5,19.977272727272727
2024-06-01,0.38278595694581824,rising,27.75,20.068181818181817
2024-07-01,0.3429522752329746,rising,27.5,20.477272727272727
2024-08-01,0.336056644864067,rising,27.875,20.863636363636363
2024-09-01,0.37795698922943,rising,29.125,21.136363636363637
2024-10-01,0.45502645500526867,rising,31.25,21.477272727272727
2024-11-01,0.5747126436517374,rising,34.25,21.75
2024-12-01,0.7782383419334273,rising,39.0,21.931818181818183
