date,momentum,direction,recent_avg,historical_avg
2024-01-01,0.06431054460854038,stable,20.875,19.613636363636363
2024-02-01,0.05671296296007478,stable,20.75,19.636363636363637
2024-03-01,0.051564310541982836,stable,20.625,19.613636363636363
2024-04-01,0.05278422273512476,stable,20.625,19.59090909090909
2024-05-01,0.03881807647542528,stable,20.375,19.613636363636363
2024-06-01,0.023699421964112347,stable,20.125,19.65909090909091
2024-07-01,-0.01314285714219626,stable,19.625,19.886363636363637
2024-08-01,-0.04401805868855894,stable,19.25,20.136363636363637
2024-09-01,-0.05449438201977778,stable,19.125,20.227272727272727
2024-10-01,-0.04428251120857802,stable,19.375,20.272727272727273
2024-11-01,-0.02071668532932645,stable,19.875,20.295454545454547
2024-12-01,0.0016759776535489382,stable,20.375,20.34090909090909
