date,momentum,direction,recent_avg,historical_avg
2025-01-01,0.9642857142251021,rising,31.25,15.909090909090908
2025-02-01,1.0,rising,34.5,16.386363636363637
2025-03-01,1.0,rising,36.125,16.75
2025-04-01,1.0,rising,37.75,17.068181818181817
2025-05-01,1.0,rising,37.0,17.931818181818183
2025-06-01,0.9203163016539002,rising,35.875,18.681818181818183
2025-07-01,0.7528868359894606,rising,34.5,19.681818181818183
2025-08-01,0.713812154661428,rising,35.25,20.568181818181817
2025-09-01,0.7103301384118695,rising,36.5,21.34090909090909
2025-10-01,0.567444219041615,rising,35.125,22.40909090909091
2025-11-01,0.6364532019428534,rising,37.75,23.068181818181817
2025-12-01,0.755992329785941,rising,41.625,23.704545454545453
